########################################################################################
Starting Measurement Run at 08/10/2020 16:58:21
CSV file: pcb-full.csv
PARTNAME;NETNAME;PAD-ID;PAD-NAME;TRANSFORMED-X;TRANSFORMED-Y;MEASUREMENT-RESULT
BETA;;100;101;95.9657;81.4368;277 2B4 1E2 1E7 0FC 072
BETA;;100;101;95.9657;81.4368;275 2B2 1E8 1E6 0E2 058
BETA;;100;101;95.9657;81.4368;277 2B4 1EC 1E8 10C 066
BETA;;100;101;95.9657;81.4368;278 2B4 1EE 1E7 0F1 078
BETA;;100;101;95.9657;81.4368;277 2B5 1EA 1E8 100 079
BETA;;100;101;95.9657;81.4368;278 2B2 1EC 1E5 0FF 07D
BETA;;100;101;95.9657;81.4368;277 2B4 1ED 1E4 0EA 088
BETA;;100;101;95.9657;81.4368;278 2B4 1EF 1E8 101 079
BETA;;100;101;95.9657;81.4368;278 2B4 1ED 1E8 113 063
BETA;;100;101;95.9657;81.4368;277 2B4 1EB 1E4 0F4 05B
BETA;;100;101;95.9657;81.4368;277 2B4 1ED 1EA 0F8 075
BETA;;100;101;95.9657;81.4368;278 2B4 1EC 1E7 0EE 066
BETA;;100;101;95.9657;81.4368;278 2B4 1EF 1E8 0F2 06A
BETA;;100;101;95.9657;81.4368;278 2B4 1EC 1E7 0F9 065
BETA;;100;101;95.9657;81.4368;276 2B4 1F3 1E6 0F5 068
BETA;;100;101;95.9657;81.4368;278 2B4 1F0 1E7 0FC 076
BETA;;101;102;100.3616;81.5282;278 2B4 1E4 1E8 0F7 06D
BETA;;101;102;100.3616;81.5282;27A 2B2 1ED 1E6 0EE 076
BETA;;101;102;100.3616;81.5282;278 2B4 1EC 1E8 0DE 056
BETA;;101;102;100.3616;81.5282;277 2B4 1ED 1E8 0F4 070
BETA;;101;102;100.3616;81.5282;277 2B3 1ED 1E3 0D0 05C
BETA;;101;102;100.3616;81.5282;277 2B4 1EE 1E9 0F4 06F
BETA;;101;102;100.3616;81.5282;278 2B4 1EA 1E6 0DA 06D
BETA;;101;102;100.3616;81.5282;277 2B4 1EC 1E8 0F2 07E
BETA;;101;102;100.3616;81.5282;277 2B2 1EA 1E8 0F7 073
BETA;;101;102;100.3616;81.5282;277 2B4 1EC 1EA 0FE 061
BETA;;101;102;100.3616;81.5282;278 2B4 1E8 1E8 0FA 06D
